n,k,bfb,bps,bnh,wfb,wps,wnh
1,0.001,0.9923782591,0.9926817717,0.9766951053,0.992376893,0.9926829102,0.9775145666
1,0.01,0.9924891448,0.9926362334,0.9764227864,0.9924909663,0.9926360057,0.9770309501
1,0.1,0.992155577,0.9922502966,0.9784485566,0.9921548939,0.9922493858,0.9757825183
1,1,0.9910102894,0.9911810579,0.9733382515,0.9910116555,0.9911815133,0.9733903928
2,0.001,0.9881272613,0.9885448472,0.9699007949,0.9923072194,0.9927277654,0.9784353505
2,0.01,0.9882998513,0.9885254935,0.9731786398,0.9924679695,0.9926701595,0.9752727173
2,0.1,0.9879564927,0.988075803,0.9720663675,0.9921546662,0.9922689673,0.9757351585
2,1,0.9841160224,0.9841385639,0.9631813949,0.9906113741,0.9907393366,0.9787869059
3,0.001,0.9864418897,0.9869163986,0.9703172424,0.9922366351,0.9927377838,0.9750466198
3,0.01,0.9866381597,0.986877691,0.9721831732,0.9924310835,0.9926685656,0.9800403469
3,0.1,0.9860955712,0.9861918846,0.9672343012,0.9920708758,0.9921906414,0.9780637581
3,1,0.9811587669,0.9811774376,0.9553690763,0.9900696963,0.9902133696,0.9702915133
4,0.001,0.9861042234,0.9865983137,0.9694105754,0.9921706046,0.9927559991,0.9775507695
4,0.01,0.9862843273,0.9865491324,0.9721626809,0.9923568561,0.9926767625,0.9750766751
4,0.1,0.9857376403,0.985850803,0.9675558015,0.9919549809,0.9920704204,0.9747387811
4,1,0.9806082092,0.9806020615,0.9549617365,0.9896293412,0.9896598519,0.9726888757

